data_submitted,global_pass_incl_phase_2_fails,debrief_qc_pass,fb_int_qc_pass,basic_data_checks_pass,phase_1_rt_qc_pass,phase_2_rt_qc_pass,Count of ptp
0,0,1,1,1,NaN,NaN,3
0,0,1,1,1,NaN Total,,3
0,0,1,1,1 Total,,,3
0,0,1,1 Total,,,,3
0,0,1 Total,,,,,3
0,0 Total,,,,,,3
0,1,1,1,1,NaN,NaN,37
0,1,1,1,1,NaN Total,,37
0,1,1,1,1 Total,,,37
0,1,1,1 Total,,,,37
0,1,1 Total,,,,,37
0,1 Total,,,,,,37
0,NaN,1,1,1,1,1,3
0,NaN,1,1,1,1 Total,,3
0,NaN,1,1,1,NaN,NaN,17
0,NaN,1,1,1,NaN Total,,17
0,NaN,1,1,1 Total,,,20
0,NaN,1,1 Total,,,,20
0,NaN,1 Total,,,,,20
0,NaN Total,,,,,,20
0 Total,,,,,,,60
1,0,0,1,1,NaN,NaN,23
1,0,0,1,1,NaN Total,,23
1,0,0,1,1 Total,,,23
1,0,0,1 Total,,,,23
1,0,0 Total,,,,,23
1,0,1,0,1,NaN,NaN,2
1,0,1,0,1,NaN Total,,2
1,0,1,0,1 Total,,,2
1,0,1,0 Total,,,,2
1,0,1,1,1,NaN,NaN,146
1,0,1,1,1,NaN Total,,146
1,0,1,1,1 Total,,,146
1,0,1,1 Total,,,,146
1,0,1 Total,,,,,148
1,0 Total,,,,,,171
1,1,0,1,1,NaN,NaN,26
1,1,0,1,1,NaN Total,,26
1,1,0,1,1 Total,,,26
1,1,0,1 Total,,,,26
1,1,0 Total,,,,,26
1,1,1,0,1,NaN,NaN,1
1,1,1,0,1,NaN Total,,1
1,1,1,0,1 Total,,,1
1,1,1,0 Total,,,,1
1,1,1,1,0,1,1,1
1,1,1,1,0,1 Total,,1
1,1,1,1,0 Total,,,1
1,1,1,1,1,1,1,194
1,1,1,1,1,1 Total,,194
1,1,1,1,1 Total,,,194
1,1,1,1 Total,,,,195
1,1,1 Total,,,,,196
1,1 Total,,,,,,222
1 Total,,,,,,,393
Grand Total,,,,,,,453
